noise_percentage,confidence_factor,size_of_the_tree
03.400,0.225,146
03.400,0.25,155
03.400,0.275,188
03.400,0.2,146
03.400,0.325,407
03.400,0.350,439
03.400,0.375,449
03.400,0.3,400
03.400,0.425,516
03.400,0.45,560
03.400,0.475,574
03.400,0.4,503
03.400,0.5,574
03.450,0.025,1
03.450,0.05,38
03.450,0.075,38
03.450,0.125,38
03.450,0.150,41
03.450,0.175,41
03.450,0.1,38
03.450,0.225,53
03.450,0.25,83
03.450,0.275,321
03.450,0.2,72
03.450,0.325,438
03.450,0.350,479
03.450,0.375,565
03.450,0.3,400
03.450,0.425,599
03.450,0.45,618
03.450,0.475,618
03.450,0.4,574
03.450,0.5,618
03.500,0.025,1
03.500,0.05,35
03.500,0.075,35
03.500,0.125,35
03.500,0.150,38
03.500,0.175,38
03.500,0.1,35
03.500,0.225,91
03.500,0.25,151
03.500,0.275,316
03.500,0.2,42
03.500,0.325,387
03.500,0.350,391
03.500,0.375,443
03.500,0.3,378
03.500,0.425,531
03.500,0.45,558
03.500,0.475,558
03.500,0.4,502
03.500,0.5,558
03.550,0.025,1
03.550,0.05,35
03.550,0.075,41
03.550,0.125,41
03.550,0.150,44
03.550,0.175,44
03.550,0.1,41
03.550,0.225,113
03.550,0.25,116
03.550,0.275,127
03.550,0.2,110
03.550,0.325,374
03.550,0.350,396
03.550,0.375,440
03.550,0.3,343
03.550,0.425,531
03.550,0.45,553
03.550,0.475,553
03.550,0.4,495
03.550,0.5,553
03.600,0.025,36
03.600,0.05,39
03.600,0.075,39
03.600,0.125,39
03.600,0.150,44
03.600,0.175,44
03.600,0.1,39
03.600,0.225,123
03.600,0.25,138
03.600,0.275,172
03.600,0.2,109
03.600,0.325,439
03.600,0.350,471
03.600,0.375,480
03.600,0.3,393
03.600,0.425,504
03.600,0.45,523
03.600,0.475,541
03.600,0.4,497
03.600,0.5,541
03.650,0.025,1
03.650,0.05,32
03.650,0.075,35
03.650,0.125,38
03.650,0.150,38
03.650,0.175,38
03.650,0.1,35
03.650,0.225,120
03.650,0.25,123
03.650,0.275,123
03.650,0.2,111
03.650,0.325,377
03.650,0.350,379
03.650,0.375,451
03.650,0.3,346
03.650,0.425,495
03.650,0.45,508
